name, geometry, date (mm/dd/yr), short wavelength displacement, source file
Series 10, POINT(-118.80732102477252 34.01706934711741), 07/20/2017, 0.0046063662, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20170720T014913Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 08/01/2017, 0.0013120174, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20170801T014914Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 08/13/2017, 0.0008194447, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20170813T014914Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 08/25/2017, 0.0003402233, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20170825T014915Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 09/06/2017, -0.0014789104, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20170906T014915Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 09/18/2017, -0.0018727779, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20170918T014916Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 09/30/2017, 0.0041889548, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20170930T014916Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 10/12/2017, 0.0059940815, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20171012T014916Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 10/24/2017, 0.0049884319, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20171024T014916Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 11/05/2017, -0.000030756, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20171105T014916Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 11/17/2017, 0.0083839893, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20171117T014916Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 11/29/2017, 0.0049774647, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20171129T014916Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 12/11/2017, 0.0063588619, OPERA_L3_DISP-S1_IW_F16940_VV_20170614T014911Z_20171211T014915Z_v1.0_20250409T075840Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 12/23/2017, 0.0051524639, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20171223T014915Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 01/04/2018, 0.0079598427, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180104T014914Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 01/16/2018, 0.0050737858, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180116T014914Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 01/28/2018, 0.0066440701, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180128T014913Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 02/09/2018, 0.0072754622, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180209T014913Z_v1.0_20250409T160927Z.nc
